Arc Time,Arc Component,Column Pressure Delta
2024-08-06 11:19:14,C4 Gun Lens,1.1269999999999993e-10
2024-08-06 11:55:09,B4 Gun Lens,1.0969999999999994e-10
2024-08-06 11:55:09,B3 Extractor,1.0969999999999994e-10
2024-08-06 11:55:09,B3 Gun Lens,1.0969999999999994e-10
2024-08-05 21:37:55,C4 Bias,1.0690000000000012e-10
2024-08-05 21:37:55,C4 Extractor,1.0690000000000012e-10
2024-08-05 21:37:55,D4 Suppressor,1.0690000000000012e-10
2024-08-05 21:37:59,B3 Extractor,1.045e-10
2024-08-05 21:37:59,B4 Gun Lens,1.045e-10
2024-08-06 04:24:31,B3 Extractor,9.920000000000013e-11
2024-08-05 19:13:55,B2 Gun Lens,9.899999999999997e-11
2024-08-05 16:44:36,D4 Gun Lens,9.799999999999987e-11
2024-08-05 16:44:37,D4 Bias,9.799999999999987e-11
2024-08-07 17:17:25,C4 Suppressor,9.599999999999988e-11
2024-08-07 17:17:25,C4 Extractor,9.599999999999988e-11
2024-08-05 14:20:13,B4 Gun Lens,8.850000000000006e-11
2024-08-07 16:03:14,B2 Gun Lens,8.500000000000022e-11
2024-08-07 16:03:13,B4 Gun Lens,8.500000000000022e-11
2024-08-06 02:36:49,D2 Suppressor,8.130000000000012e-11
2024-08-05 20:47:08,D2 Suppressor,7.850000000000009e-11
2024-08-05 20:47:08,D2 Gun Lens,7.850000000000009e-11
2024-08-06 07:25:13,C4 Extractor,7.779999999999998e-11
2024-08-06 07:25:12,D4 Bias,7.779999999999998e-11
2024-08-06 07:25:12,C4 Gun Lens,7.779999999999998e-11
2024-08-06 07:25:13,D4 Gun Lens,7.779999999999998e-11
2024-08-06 05:57:29,B2 Gun Lens,7.580000000000009e-11
2024-08-06 05:57:29,C2 Gun Lens,7.580000000000009e-11
2024-08-06 01:21:36,C4 Extractor,7.44999999999999e-11
2024-08-06 01:21:36,C4 Suppressor,7.44999999999999e-11
2024-08-06 01:21:36,C4 Bias,7.44999999999999e-11
2024-08-05 21:37:54,C4 Suppressor,7.270000000000017e-11
2024-08-06 05:31:40,C2 Extractor,6.989999999999993e-11
2024-08-06 05:31:40,B2 Gun Lens,6.989999999999993e-11
2024-08-06 02:35:09,C4 Gun Lens,6.57000000000001e-11
2024-08-06 02:35:08,C4 Suppressor,6.57000000000001e-11
2024-08-06 02:35:09,C4 Extractor,6.57000000000001e-11
2024-08-06 02:35:09,C4 Bias,6.57000000000001e-11
2024-08-06 08:59:44,C2 Gun Lens,6.54e-11
2024-08-06 08:59:44,B2 Gun Lens,6.54e-11
2024-08-06 03:38:07,B2 Gun Lens,6.469999999999979e-11
2024-08-06 00:31:10,B2 Gun Lens,6.290000000000006e-11
2024-08-06 00:31:10,B4 Suppressor,6.290000000000006e-11
2024-08-06 00:31:10,B3 Gun Lens,6.290000000000006e-11
2024-08-06 00:31:09,B3 Extractor,6.290000000000006e-11
2024-08-05 19:32:28,B4 Extractor,6.219999999999985e-11
2024-08-05 19:32:28,B4 Gun Lens,6.219999999999985e-11
2024-08-05 19:32:28,C4 Extractor,6.219999999999985e-11
2024-08-05 19:32:29,B3 Extractor,6.219999999999985e-11
2024-08-05 19:32:28,B3 Gun Lens,6.219999999999985e-11
2024-08-05 20:40:17,B2 Gun Lens,5.949999999999985e-11
2024-08-05 20:40:17,B3 Suppressor,5.949999999999985e-11
2024-08-05 20:40:17,B3 Gun Lens,5.949999999999985e-11
2024-08-05 20:40:17,B3 Extractor,5.949999999999985e-11
2024-08-06 01:49:15,D4 Gun Lens,5.36e-11
2024-08-06 01:49:15,C4 Extractor,5.36e-11
2024-08-06 01:49:15,D4 Main Lens,5.36e-11
2024-08-06 01:49:15,D4 Extractor,5.36e-11
2024-08-06 01:49:15,D4 Suppressor,5.36e-11
2024-08-06 01:49:15,D4 Bias,5.36e-11
2024-08-05 23:41:56,C2 Bias,4.6399999999999964e-11
2024-08-05 19:42:18,D2 Suppressor,3.9700000000000183e-11
2024-08-05 19:42:19,C3 Extractor,3.9700000000000183e-11
2024-08-05 19:42:18,C3 Bias,3.9700000000000183e-11
2024-08-05 15:28:34,B4 Gun Lens,2.8300000000000202e-11
2024-08-06 09:10:24,D2 Gun Lens,2.4199999999999875e-11
2024-08-06 09:10:24,D2 Suppressor,2.4199999999999875e-11
