Arc Time,Arc Component,Chamber Pressure Delta
2024-08-05 13:22:35,C4 Extractor,6.7999999999999815e-09
2024-08-05 13:22:36,C4 Gun Lens,6.7999999999999815e-09
2024-08-05 13:22:35,C4 Bias,6.7999999999999815e-09
2024-08-05 13:22:35,C4 Suppressor,6.7999999999999815e-09
2024-08-05 13:05:49,B4 Gun Lens,6.700000000000027e-09
2024-08-05 17:31:57,B4 Gun Lens,6.199999999999936e-09
2024-08-05 20:21:06,D4 Gun Lens,6.000000000000027e-09
2024-08-05 18:41:42,B3 Suppressor,5.899999999999967e-09
2024-08-05 18:41:43,B3 Gun Lens,5.899999999999967e-09
2024-08-05 18:41:42,B3 Bias,5.899999999999967e-09
2024-08-06 10:50:33,D2 Gun Lens,5.800000000000012e-09
2024-08-06 10:50:34,D2 Suppressor,5.800000000000012e-09
2024-08-06 08:38:08,C4 Extractor,5.799999999999959e-09
2024-08-06 08:38:07,C4 Suppressor,5.799999999999959e-09
2024-08-06 08:38:08,C4 Bias,5.799999999999959e-09
2024-08-06 11:19:14,C4 Gun Lens,5.399999999999982e-09
2024-08-06 11:19:13,C4 Extractor,5.399999999999982e-09
2024-08-06 11:19:14,C4 Suppressor,5.399999999999982e-09
2024-08-05 20:40:17,B3 Extractor,5.000000000000058e-09
2024-08-05 20:40:17,B3 Gun Lens,5.000000000000058e-09
2024-08-05 20:40:17,B3 Suppressor,5.000000000000058e-09
2024-08-05 20:40:17,B2 Gun Lens,5.000000000000058e-09
2024-08-06 08:59:44,C2 Gun Lens,5.000000000000005e-09
2024-08-06 08:59:44,B2 Gun Lens,5.000000000000005e-09
2024-08-06 01:49:15,D4 Gun Lens,4.899999999999945e-09
2024-08-06 01:49:15,C4 Extractor,4.899999999999945e-09
2024-08-06 01:49:15,D4 Extractor,4.899999999999945e-09
2024-08-06 01:49:15,D4 Suppressor,4.899999999999945e-09
2024-08-06 01:49:15,D4 Main Lens,4.899999999999945e-09
2024-08-06 01:49:15,D4 Bias,4.899999999999945e-09
2024-08-05 16:11:30,D2 Bias,4.800000000000043e-09
2024-08-06 09:10:24,D2 Suppressor,4.79999999999999e-09
2024-08-06 09:10:24,D2 Gun Lens,4.79999999999999e-09
2024-08-05 13:00:26,D4 Bias,4.6999999999999825e-09
2024-08-06 11:55:09,B3 Gun Lens,4.600000000000081e-09
2024-08-06 11:55:09,B4 Gun Lens,4.600000000000081e-09
